graphs,mindp4
GKD-c_10_n500_m50.txt,642.16401
GKD-c_11_n500_m50.txt,646.76863
GKD-c_12_n500_m50.txt,644.5343399999999
GKD-c_13_n500_m50.txt,633.26422
GKD-c_14_n500_m50.txt,632.1097199999999
GKD-c_15_n500_m50.txt,631.5304100000001
GKD-c_16_n500_m50.txt,641.49824
GKD-c_17_n500_m50.txt,633.49495
GKD-c_18_n500_m50.txt,626.6722400000001
GKD-c_19_n500_m50.txt,632.1501
GKD-c_1_n500_m50.txt,636.04075
GKD-c_20_n500_m50.txt,627.53268
GKD-c_2_n500_m50.txt,646.20612
GKD-c_3_n500_m50.txt,643.66059
GKD-c_4_n500_m50.txt,636.69623
GKD-c_5_n500_m50.txt,642.83233
GKD-c_6_n500_m50.txt,633.0727199999999
GKD-c_7_n500_m50.txt,638.6425300000001
GKD-c_8_n500_m50.txt,635.79666
GKD-c_9_n500_m50.txt,635.41844
SOM-b_10_n300_m60.txt,244.0
SOM-b_11_n300_m90.txt,371.0
SOM-b_12_n300_m120.txt,497.0
SOM-b_13_n400_m40.txt,162.0
SOM-b_14_n400_m80.txt,331.0
SOM-b_15_n400_m120.txt,496.0
SOM-b_16_n400_m160.txt,666.0
SOM-b_17_n500_m50.txt,204.0
SOM-b_18_n500_m100.txt,412.0
SOM-b_19_n500_m150.txt,618.0
SOM-b_1_n100_m10.txt,46.0
SOM-b_20_n500_m200.txt,831.0
SOM-b_2_n100_m20.txt,87.0
SOM-b_3_n100_m30.txt,124.0
SOM-b_4_n100_m40.txt,163.0
SOM-b_5_n200_m20.txt,87.0
SOM-b_6_n200_m40.txt,163.0
SOM-b_7_n200_m60.txt,244.0
SOM-b_8_n200_m80.txt,330.0
SOM-b_9_n300_m30.txt,127.0
