graphs,random,greedy
GKD-c_10_n500_m50.txt,0.0,0.0
GKD-c_11_n500_m50.txt,0.0,0.0
GKD-c_12_n500_m50.txt,0.0,0.0
GKD-c_13_n500_m50.txt,0.0,0.0
GKD-c_14_n500_m50.txt,0.0,0.0
GKD-c_15_n500_m50.txt,0.0,0.0
GKD-c_16_n500_m50.txt,0.0,0.0
GKD-c_17_n500_m50.txt,0.0,0.0
GKD-c_18_n500_m50.txt,0.0,0.0
GKD-c_19_n500_m50.txt,0.0,0.0
GKD-c_1_n500_m50.txt,0.0,0.0
GKD-c_20_n500_m50.txt,0.0,0.0
GKD-c_2_n500_m50.txt,0.0,0.0
GKD-c_3_n500_m50.txt,0.0,0.0
GKD-c_4_n500_m50.txt,0.0,0.0
GKD-c_5_n500_m50.txt,0.0,0.0
GKD-c_6_n500_m50.txt,0.0,0.0
GKD-c_7_n500_m50.txt,0.0,0.0
GKD-c_8_n500_m50.txt,0.0,0.0
GKD-c_9_n500_m50.txt,0.0,0.0
SOM-b_10_n300_m60.txt,0.0,0.0
SOM-b_11_n300_m90.txt,0.0,0.0
SOM-b_12_n300_m120.txt,0.0,0.0
SOM-b_13_n400_m40.txt,0.0,0.0
SOM-b_14_n400_m80.txt,0.0,0.0
SOM-b_15_n400_m120.txt,0.0,0.0
SOM-b_16_n400_m160.txt,0.0,0.0
SOM-b_17_n500_m50.txt,0.0,0.0
SOM-b_18_n500_m100.txt,0.0,0.0
SOM-b_19_n500_m150.txt,0.0,0.0
SOM-b_1_n100_m10.txt,0.0,0.0
SOM-b_20_n500_m200.txt,0.0,0.0
SOM-b_2_n100_m20.txt,0.0,0.0
SOM-b_3_n100_m30.txt,0.0,0.0
SOM-b_4_n100_m40.txt,0.0,0.0
SOM-b_5_n200_m20.txt,0.0,0.0
SOM-b_6_n200_m40.txt,0.0,0.0
SOM-b_7_n200_m60.txt,0.0,0.0
SOM-b_8_n200_m80.txt,0.0,0.0
SOM-b_9_n300_m30.txt,0.0,0.0
